0 1 2
0 3 1
1 3 2
4 5 6
6 7 4
8 7 6
8 6 5
9 10 11
11 12 9
9 12 3
10 9 3
10 12 11
13 14 15
15 16 13
17 15 14
15 17 16
17 14 13
18 5 4
8 5 3
5 18 3
19 3 20
3 19 20
18 8 21
3 21 8
18 21 3
13 16 10
17 13 10
18 4 7
8 18 7
22 23 24
12 23 22
22 24 12
25 26 27
26 25 2
2 27 26
28 0 2
28 3 0
10 16 12
10 3 17
24 29 30
30 12 24
29 12 30
24 31 29
29 31 12
3 12 31
3 31 24
16 17 18
16 18 12
18 17 3
27 32 25
25 32 33
33 2 25
12 24 23
33 32 27
27 2 12
33 27 12
33 12 34
34 12 33
3 24 12
18 3 12
28 2 33
28 33 12
28 12 3
12 2 3
12 3 35
12 35 3
